,Date,sentiment_score,avg_sentiment,ticker,Open,High,Low,Close,Adj Close,Volume,month,day,is_quarter_end,predicted
2593,2019-08-29,0.6317666666666667,Positive,AAPL,52.125,52.330002,51.665001,52.252499,51.122028,83962000.0,8,3,0,49.82719578614736
2594,2019-08-30,0.7661714285714286,Positive,AAPL,52.540001,52.612499,51.799999,52.185001,51.055996,84573600.0,8,4,0,49.85284176299156
2596,2019-09-01,-0.04520000000000002,Negative,AAPL,37.822498,38.6325,37.407501,38.327499,37.054134,180396400.0,9,6,1,36.00709172511362
2599,2019-09-04,0.07576666666666666,Positive,AAPL,50.080002,50.712502,49.807499,49.875,48.424801,143072800.0,9,2,1,48.358019215323864
2600,2019-09-05,0.32146153846153847,Positive,AAPL,50.099998,50.419998,49.165001,50.18,48.720932,139634400.0,9,3,1,48.35310721091701
2602,2019-09-07,0.3892333333333333,Positive,AAPL,49.799999,50.377499,49.702499,50.310001,49.035252,82312000.0,9,5,1,48.32864235710175
2603,2019-09-08,0.9964999999999999,Positive,AAPL,50.325001,50.689999,49.822498,50.247501,49.160416,98478800.0,9,6,1,48.333323534704185
2604,2019-09-09,0.7960538461538461,Positive,AAPL,53.709999,54.110001,52.767502,53.5425,52.384129,109237600.0,9,0,1,51.13117272906577
2605,2019-09-10,0.8403069767441861,Positive,AAPL,56.7575,56.947498,56.41,56.7575,55.529568,74770400.0,9,1,1,53.96653249412361
2607,2019-09-12,0.98493,Positive,AAPL,67.5,67.699997,66.227501,66.730003,65.48233,128042400.0,9,3,1,53.951163550810925
2608,2019-09-13,0.5763857142857143,Positive,AAPL,55.0,55.197498,54.255001,54.6875,53.50436,159053200.0,9,4,1,52.527516461150114
2611,2019-09-16,0.8226800000000001,Positive,AAPL,54.432499,55.032501,54.389999,54.974998,53.785633,84632400.0,9,0,1,52.32783253879278
2612,2019-09-17,0.6573125,Positive,AAPL,54.990002,55.205002,54.779999,55.174999,53.981316,73274800.0,9,1,1,52.54538639732276
2613,2019-09-18,0.6416416666666667,Positive,AAPL,55.264999,55.712502,54.860001,55.692501,54.48761,101360000.0,9,2,1,53.45977926204469
2614,2019-09-19,0.9932117647058822,Positive,AAPL,55.502499,55.939999,55.092499,55.240002,54.044907,88242400.0,9,3,1,53.52357572093391
2615,2019-09-20,0.6641777777777779,Positive,AAPL,55.345001,55.639999,54.3675,54.432499,53.254868,221652400.0,9,4,1,52.95198786510211
2618,2019-09-23,0.8163461538461539,Positive,AAPL,54.737499,54.959999,54.412498,54.68,53.497013,76662000.0,9,0,1,52.31686717585133
2619,2019-09-24,0.590790909090909,Positive,AAPL,55.2575,55.622501,54.297501,54.419998,53.242638,124763200.0,9,1,1,52.92316226067309
2620,2019-09-25,0.60455,Positive,AAPL,54.637501,55.375,54.285,55.2575,54.062019,87613600.0,9,2,1,52.56409299531094
2621,2019-09-26,0.903625,Positive,AAPL,55.0,55.235001,54.7075,54.9725,53.783188,75334000.0,9,3,1,52.54538639732276
2622,2019-09-27,0.9909250000000001,Positive,AAPL,55.134998,55.240002,54.32,54.705002,53.521477,101408000.0,9,4,1,52.54029727313419
2625,2019-09-30,0.8467454545454545,Positive,AAPL,55.224998,56.145,55.197498,55.9925,54.781124,103909600.0,9,0,1,53.96653249412361
2626,2019-10-01,0.6234357142857142,Positive,AAPL,38.125,38.4925,37.715,38.450001,37.172573,143122800.0,10,1,0,36.1385333447259
2629,2019-10-04,0.7507909090909091,Positive,AAPL,49.669998,50.185001,49.544998,50.154999,48.696644,86781200.0,10,4,0,46.78303987819703
2630,2019-10-05,0.38304,Positive,AAPL,49.355,49.712502,48.192501,49.294998,48.045971,164834800.0,10,5,0,46.414170756161894
2631,2019-10-06,0.629575,Positive,AAPL,47.952499,48.842499,47.904999,48.145,46.92511,104883600.0,10,6,0,46.32323138068676
2632,2019-10-07,0.5917692307692307,Positive,AAPL,50.462502,50.932499,50.389999,50.807499,49.520149,71588400.0,10,0,0,48.32864235710175
2634,2019-10-09,0.7376916666666666,Positive,AAPL,53.465,54.195,52.927502,54.174999,53.002941,127111600.0,10,2,0,51.5794417269026
